# Name = @default@10000

# Functions = 000000000 = none are picked 
# FitP = Average Fitness of Viable Population 
# CstP = Average Offspring Cost of Viable Population 
# EarP = Average Energy Acquisition Rate of Viable Population 
# NumP = Total Polution Size 
# ViaP = Viable Population Size 
# FitF = Average Fitness of avidians performing picked functions 
# CstF = Average Offspring Cost avidians performing picked functions 
# EarF = Average Energy Acquisition Rate avidians performing functions 
# NumF = Number of avidians performing picked functions 
# columns for statistics for each ancestor (up to 16) will follow. Each column will use 3 letters for the 
# data type followed by _##; where the number with a leading zero is for each ancestor 
# ancestor 00 is @ancestor
Update,FitP,CstP,EarP,NumP,ViaP,FitF,CstF,EarF,NumF,Fit_00,Cst_00,Ear_00,Num_00,Via_00,
0,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
1,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
2,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
3,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
4,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
5,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
6,0.249338624338624,188.5,47,2,2,null,null,null,null,0.249338624338624,188.5,47,2,2,
7,0.249338624338624,188.5,47,2,2,null,null,null,null,0.249338624338624,188.5,47,2,2,
8,0.249338624338624,188.5,47,2,2,null,null,null,null,0.249338624338624,188.5,47,2,2,
9,0.249338624338624,188.5,47,2,2,null,null,null,null,0.249338624338624,188.5,47,2,2,
10,0.249338624338624,188.5,47,2,2,null,null,null,null,0.249338624338624,188.5,47,2,2,
11,0.249338624338624,188.5,47,2,2,null,null,null,null,0.249338624338624,188.5,47,2,2,
12,0.249118165784832,188.666666666667,47,3,3,null,null,null,null,0.249118165784832,188.666666666667,47,3,3,
13,0.249672848937555,188.25,47,4,4,null,null,null,null,0.249672848937555,188.25,47,4,4,
14,0.249672848937555,188.25,47,4,4,null,null,null,null,0.249672848937555,188.25,47,4,4,
15,0.249672848937555,188.25,47,4,4,null,null,null,null,0.249672848937555,188.25,47,4,4,
16,0.249672848937555,188.25,47,4,4,null,null,null,null,0.249672848937555,188.25,47,4,4,
17,0.249672848937555,188.25,47,4,4,null,null,null,null,0.249672848937555,188.25,47,4,4,
18,0.249672848937555,188.25,47,4,4,null,null,null,null,0.249672848937555,188.25,47,4,4,
19,0.249784257137198,188.166666666667,47,7,6,null,null,null,null,0.249784257137198,188.166666666667,47,7,6,
20,0.238076815807908,202.142857142857,47.1428571428571,8,7,null,null,null,null,0.238076815807908,202.142857142857,47.1428571428571,8,7,
21,0.238076815807908,202.142857142857,47.1428571428571,8,7,null,null,null,null,0.238076815807908,202.142857142857,47.1428571428571,8,7,
22,0.238076815807908,202.142857142857,47.1428571428571,8,7,null,null,null,null,0.238076815807908,202.142857142857,47.1428571428571,8,7,
23,0.238076815807908,202.142857142857,47.1428571428571,8,7,null,null,null,null,0.238076815807908,202.142857142857,47.1428571428571,8,7,
24,0.238076815807908,202.142857142857,47.1428571428571,8,7,null,null,null,null,0.238076815807908,202.142857142857,47.1428571428571,8,7,
25,0.240727984192037,199,47.1111111111111,10,9,null,null,null,null,0.240727984192037,199,47.1111111111111,10,9,
26,0.242537934404417,196.909090909091,47.0909090909091,13,11,null,null,null,null,0.242537934404417,196.909090909091,47.0909090909091,13,11,
27,0.242537934404417,196.909090909091,47.0909090909091,14,11,null,null,null,null,0.242537934404417,196.909090909091,47.0909090909091,14,11,
28,0.242537934404417,196.909090909091,47.0909090909091,14,11,null,null,null,null,0.242537934404417,196.909090909091,47.0909090909091,14,11,
29,0.236361527590014,204.25,47.1666666666667,15,12,null,null,null,null,0.236361527590014,204.25,47.1666666666667,15,12,
30,0.236361527590014,204.25,47.1666666666667,15,12,null,null,null,null,0.236361527590014,204.25,47.1666666666667,15,12,
31,0.237410640852321,203,47.1538461538462,17,13,null,null,null,null,0.237410640852321,203,47.1538461538462,17,13,
32,0.240767739621289,199.176470588235,47.1176470588235,21,17,null,null,null,null,0.240767739621289,199.176470588235,47.1176470588235,21,17,
33,0.241809919576717,197.947368421053,47.1052631578947,23,19,null,null,null,null,0.241809919576717,197.947368421053,47.1052631578947,23,19,
34,0.241809919576717,197.947368421053,47.1052631578947,23,19,null,null,null,null,0.241809919576717,197.947368421053,47.1052631578947,23,19,
35,0.241809919576717,197.947368421053,47.1052631578947,23,19,null,null,null,null,0.241809919576717,197.947368421053,47.1052631578947,23,19,
36,0.241809919576717,197.947368421053,47.1052631578947,23,19,null,null,null,null,0.241809919576717,197.947368421053,47.1052631578947,23,19,
37,0.241809919576717,197.947368421053,47.1052631578947,23,19,null,null,null,null,0.241809919576717,197.947368421053,47.1052631578947,23,19,
38,0.242717935428602,196.904761904762,47.0952380952381,28,21,null,null,null,null,0.242717935428602,196.904761904762,47.0952380952381,28,21,
39,0.240509996780387,199.625,47.125,32,24,null,null,null,null,0.240509996780387,199.625,47.125,32,24,
40,0.238566744354797,201.692307692308,47.1538461538462,35,26,null,null,null,null,0.238566744354797,201.692307692308,47.1538461538462,35,26,
41,0.238566744354797,201.692307692308,47.1538461538462,35,26,null,null,null,null,0.238566744354797,201.692307692308,47.1538461538462,35,26,
42,0.238566744354797,201.692307692308,47.1538461538462,35,26,null,null,null,null,0.238566744354797,201.692307692308,47.1538461538462,35,26,
43,0.238566744354797,201.692307692308,47.1538461538462,35,26,null,null,null,null,0.238566744354797,201.692307692308,47.1538461538462,35,26,
44,0.239383405472311,200.714285714286,47.1428571428571,36,28,null,null,null,null,0.239383405472311,200.714285714286,47.1428571428571,36,28,
45,0.236234402266409,205.029411764706,47.1764705882353,45,34,null,null,null,null,0.236234402266409,205.029411764706,47.1764705882353,45,34,
46,0.234909260104008,203.942857142857,46.7142857142857,48,35,null,null,null,null,0.234909260104008,203.942857142857,46.7142857142857,48,35,
47,0.233468473517559,205.756756756757,46.7567567567568,50,37,null,null,null,null,0.233468473517559,205.756756756757,46.7567567567568,50,37,
48,0.233468473517559,205.756756756757,46.7567567567568,51,37,null,null,null,null,0.233468473517559,205.756756756757,46.7567567567568,51,37,
49,0.231788021778162,207.789473684211,46.7894736842105,53,38,null,null,null,null,0.231788021778162,207.789473684211,46.7894736842105,53,38,
50,0.231788021778162,207.789473684211,46.7894736842105,53,38,null,null,null,null,0.231788021778162,207.789473684211,46.7894736842105,53,38,
51,0.233737119281997,204.571428571429,46.6190476190476,59,42,null,null,null,null,0.233737119281997,204.571428571429,46.6190476190476,59,42,
52,0.237418262724935,200.574468085106,46.6382978723404,65,47,null,null,null,null,0.237418262724935,200.574468085106,46.6382978723404,65,47,
53,0.238041524329755,199.979591836735,46.6530612244898,65,49,null,null,null,null,0.238041524329755,199.979591836735,46.6530612244898,65,49,
54,0.238226162885142,199.115384615385,46.5384615384615,68,52,null,null,null,null,0.238226162885142,199.115384615385,46.5384615384615,68,52,
55,0.238226162885142,199.115384615385,46.5384615384615,68,52,null,null,null,null,0.238226162885142,199.115384615385,46.5384615384615,68,52,
56,0.238226162885142,199.115384615385,46.5384615384615,69,52,null,null,null,null,0.238226162885142,199.115384615385,46.5384615384615,69,52,
57,0.238507608596228,198.444444444444,46.462962962963,74,54,null,null,null,null,0.238507608596228,198.444444444444,46.462962962963,74,54,
58,0.23376857821378,205.209677419355,46.6935483870968,84,62,null,null,null,null,0.23376857821378,205.209677419355,46.6935483870968,84,62,
59,0.233180603495345,205.969230769231,46.7230769230769,88,65,null,null,null,null,0.233180603495345,205.969230769231,46.7230769230769,88,65,
60,0.234485670242657,205.308823529412,46.8676470588235,90,68,null,null,null,null,0.234485670242657,205.308823529412,46.8676470588235,90,68,
61,0.234485670242657,205.308823529412,46.8676470588235,91,68,null,null,null,null,0.234485670242657,205.308823529412,46.8676470588235,91,68,
62,0.23523246008355,203.823529411765,46.75,91,68,null,null,null,null,0.23523246008355,203.823529411765,46.75,91,68,
63,0.235447107483618,203.594202898551,46.7536231884058,93,69,null,null,null,null,0.235447107483618,203.594202898551,46.7536231884058,93,69,
64,0.237233217468472,202.197530864198,46.8395061728395,103,81,null,null,null,null,0.237233217468472,202.197530864198,46.8395061728395,103,81,
65,0.238888467096378,200.317647058824,46.8352941176471,109,85,null,null,null,null,0.238888467096378,200.317647058824,46.8352941176471,109,85,
66,0.238360421144431,200.306818181818,46.7386363636364,111,88,null,null,null,null,0.238360421144431,200.306818181818,46.7386363636364,111,88,
67,0.236257365147708,202.847826086957,46.7717391304348,115,92,null,null,null,null,0.236257365147708,202.847826086957,46.7717391304348,115,92,
68,0.234446062225736,204.548387096774,46.6989247311828,117,93,null,null,null,null,0.234446062225736,204.548387096774,46.6989247311828,117,93,
69,0.234389698027098,204.234042553192,46.6276595744681,118,94,null,null,null,null,0.234389698027098,204.234042553192,46.6276595744681,118,94,
70,0.233177483908615,205.838383838384,46.6666666666667,127,99,null,null,null,null,0.233177483908615,205.838383838384,46.6666666666667,127,99,
71,0.234697317035606,204.364485981308,46.7009345794393,135,107,null,null,null,null,0.234697317035606,204.364485981308,46.7009345794393,135,107,
72,0.234964315582924,204.418181818182,46.7818181818182,141,110,null,null,null,null,0.234964315582924,204.418181818182,46.7818181818182,141,110,
73,0.234939745558354,204.472727272727,46.7909090909091,142,110,null,null,null,null,0.234939745558354,204.472727272727,46.7909090909091,142,110,
74,0.235303237126613,204.409090909091,46.8727272727273,142,110,null,null,null,null,0.235303237126613,204.409090909091,46.8727272727273,142,110,
75,0.235243150736213,204.495575221239,46.8849557522124,147,113,null,null,null,null,0.235243150736213,204.495575221239,46.8849557522124,147,113,
76,0.233742345226647,205.823008849558,46.8230088495575,152,113,null,null,null,null,0.233742345226647,205.823008849558,46.8230088495575,152,113,
77,0.232529238194849,206.991666666667,46.7833333333333,164,120,null,null,null,null,0.232529238194849,206.991666666667,46.7833333333333,164,120,
78,0.232372988789212,207.16935483871,46.7903225806452,172,124,null,null,null,null,0.232372988789212,207.16935483871,46.7903225806452,172,124,
79,0.234158087807955,205.087301587302,46.7777777777778,176,126,null,null,null,null,0.234158087807955,205.087301587302,46.7777777777778,176,126,
80,0.234041934521,205.216,46.776,176,125,null,null,null,null,0.234041934521,205.216,46.776,176,125,
81,0.234271071458052,205,46.7777777777778,178,126,null,null,null,null,0.234271071458052,205,46.7777777777778,178,126,
82,0.23553225561255,203.176923076923,46.7230769230769,182,130,null,null,null,null,0.23553225561255,203.176923076923,46.7230769230769,182,130,
83,0.237099932844794,200.931297709924,46.6030534351145,189,131,null,null,null,null,0.237099932844794,200.931297709924,46.6030534351145,189,131,
84,0.236948345036616,201.131386861314,46.6423357664234,198,137,null,null,null,null,0.236948345036616,201.131386861314,46.6423357664234,198,137,
85,0.236494358194732,200.972027972028,46.5594405594406,205,143,null,null,null,null,0.236494358194732,200.972027972028,46.5594405594406,205,143,
86,0.235910810657345,201.767605633803,46.5845070422535,204,142,null,null,null,null,0.235910810657345,201.767605633803,46.5845070422535,204,142,
87,0.234596709875499,203.321678321678,46.6083916083916,204,143,null,null,null,null,0.234596709875499,203.321678321678,46.6083916083916,204,143,
88,0.235635899227791,202.346666666667,46.62,211,150,null,null,null,null,0.235635899227791,202.346666666667,46.62,211,150,
89,0.236959154354855,201.02614379085,46.6143790849673,218,153,null,null,null,null,0.236959154354855,201.02614379085,46.6143790849673,218,153,
90,0.237695077115383,199.796296296296,46.5802469135802,230,162,null,null,null,null,0.237695077115383,199.796296296296,46.5802469135802,230,162,
91,0.237470608682143,198.946107784431,46.3832335329341,234,167,null,null,null,null,0.237470608682143,198.946107784431,46.3832335329341,234,167,
92,0.235881292610363,201.189655172414,46.4770114942529,239,174,null,null,null,null,0.235881292610363,201.189655172414,46.4770114942529,239,174,
93,0.235692913733132,201.193181818182,46.4431818181818,242,176,null,null,null,null,0.235692913733132,201.193181818182,46.4431818181818,242,176,
94,0.236962852402526,200.045454545455,46.4829545454545,245,176,null,null,null,null,0.236962852402526,200.045454545455,46.4829545454545,245,176,
95,0.236714091293436,200.521978021978,46.5,252,182,null,null,null,null,0.236714091293436,200.521978021978,46.5,252,182,
96,0.235912889747808,201.352631578947,46.4789473684211,261,190,null,null,null,null,0.235912889747808,201.352631578947,46.4789473684211,261,190,
97,0.235829632348437,202.10447761194,46.6069651741293,274,201,null,null,null,null,0.235829632348437,202.10447761194,46.6069651741293,274,201,
98,0.237420319347208,200.206896551724,46.5566502463054,278,203,null,null,null,null,0.237420319347208,200.206896551724,46.5566502463054,278,203,
99,0.238143309266287,199.610576923077,46.5961538461538,281,208,null,null,null,null,0.238143309266287,199.610576923077,46.5961538461538,281,208,
100,0.237986656502462,199.530805687204,46.5545023696682,286,211,null,null,null,null,0.237986656502462,199.530805687204,46.5545023696682,286,211,
101,0.238059593426368,199.995391705069,46.6405529953917,294,217,null,null,null,null,0.238059593426368,199.995391705069,46.6405529953917,294,217,
102,0.238290294682673,199.735426008969,46.6547085201794,302,223,null,null,null,null,0.238290294682673,199.735426008969,46.6547085201794,302,223,
103,0.236769171245534,203.462222222222,46.6088888888889,309,225,null,null,null,null,0.236769171245534,203.462222222222,46.6088888888889,309,225,
104,0.235135515270145,205.591928251121,46.6188340807175,317,223,null,null,null,null,0.235135515270145,205.591928251121,46.6188340807175,317,223,
105,0.234997589226955,205.256756756757,46.518018018018,321,222,null,null,null,null,0.234997589226955,205.256756756757,46.518018018018,321,222,
106,0.235427750316749,204.78354978355,46.5454545454545,330,231,null,null,null,null,0.235427750316749,204.78354978355,46.5454545454545,330,231,
107,0.235437394495232,204.621276595745,46.531914893617,336,235,null,null,null,null,0.235437394495232,204.621276595745,46.531914893617,336,235,
108,0.235099092486536,205.168067226891,46.5756302521008,344,238,null,null,null,null,0.235099092486536,205.168067226891,46.5756302521008,344,238,
109,0.237478318886717,200.224489795918,46.5714285714286,351,245,null,null,null,null,0.237478318886717,200.224489795918,46.5714285714286,351,245,
110,0.236222268321794,201.567567567568,46.5366795366795,360,259,null,null,null,null,0.236222268321794,201.567567567568,46.5366795366795,360,259,
111,0.236159576177078,201.479087452471,46.5095057034221,364,263,null,null,null,null,0.236159576177078,201.479087452471,46.5095057034221,364,263,
112,0.235153489039846,201.955390334572,46.4014869888476,371,269,null,null,null,null,0.235153489039846,201.955390334572,46.4014869888476,371,269,
113,0.235822635872547,201.179211469534,46.4014336917563,378,279,null,null,null,null,0.235822635872547,201.179211469534,46.4014336917563,378,279,
114,0.236367910942797,201.06968641115,46.4738675958188,385,287,null,null,null,null,0.236367910942797,201.06968641115,46.4738675958188,385,287,
115,0.237713564641094,199.620805369128,46.4664429530201,395,298,null,null,null,null,0.237713564641094,199.620805369128,46.4664429530201,395,298,
116,0.238891922782029,198.501650165017,46.4785478547855,404,303,null,null,null,null,0.238891922782029,198.501650165017,46.4785478547855,404,303,
117,0.238007238552311,199.358974358974,46.4839743589744,414,312,null,null,null,null,0.238007238552311,199.358974358974,46.4839743589744,414,312,
118,0.238243714888961,198.760252365931,46.4321766561514,422,317,null,null,null,null,0.238243714888961,198.760252365931,46.4321766561514,422,317,
119,0.23793539902126,199.425925925926,46.4506172839506,432,324,null,null,null,null,0.23793539902126,199.425925925926,46.4506172839506,432,324,
120,0.237706302692735,199.512121212121,46.4121212121212,443,330,null,null,null,null,0.237706302692735,199.512121212121,46.4121212121212,443,330,
121,0.237524510001283,199.58630952381,46.3839285714286,452,336,null,null,null,null,0.237524510001283,199.58630952381,46.3839285714286,452,336,
122,0.237720076258194,199.367816091954,46.3793103448276,462,348,null,null,null,null,0.237720076258194,199.367816091954,46.3793103448276,462,348,
123,0.237691069030914,199.158045977011,46.3247126436782,474,348,null,null,null,null,0.237691069030914,199.158045977011,46.3247126436782,474,348,
124,0.237985778634458,199.305084745763,46.3954802259887,477,354,null,null,null,null,0.237985778634458,199.305084745763,46.3954802259887,477,354,
125,0.238112792846036,199.307042253521,46.4225352112676,482,355,null,null,null,null,0.238112792846036,199.307042253521,46.4225352112676,482,355,
126,0.238394773262665,199.461538461538,46.4752747252747,494,364,null,null,null,null,0.238394773262665,199.461538461538,46.4752747252747,494,364,
127,0.238698142717494,199.323529411765,46.5347593582888,504,374,null,null,null,null,0.238698142717494,199.323529411765,46.5347593582888,504,374,
128,0.2400329450897,198.089473684211,46.5447368421053,513,380,null,null,null,null,0.2400329450897,198.089473684211,46.5447368421053,513,380,
129,0.240979850059267,196.808184143223,46.5319693094629,521,391,null,null,null,null,0.240979850059267,196.808184143223,46.5319693094629,521,391,
130,0.2409933241951,197.496163682864,46.6572890025575,526,391,null,null,null,null,0.2409933241951,197.496163682864,46.6572890025575,526,391,
