# Name = @default@10000

# Functions = 000000000 = none are picked 
# FitP = Average Fitness of Viable Population 
# CstP = Average Offspring Cost of Viable Population 
# EarP = Average Energy Acquisition Rate of Viable Population 
# NumP = Total Polution Size 
# ViaP = Viable Population Size 
# FitF = Average Fitness of avidians performing picked functions 
# CstF = Average Offspring Cost avidians performing picked functions 
# EarF = Average Energy Acquisition Rate avidians performing functions 
# NumF = Number of avidians performing picked functions 
# columns for statistics for each ancestor (up to 16) will follow. Each column will use 3 letters for the 
# data type followed by _##; where the number with a leading zero is for each ancestor 
# ancestor 00 is @ancestor
Update,FitP,CstP,EarP,NumP,ViaP,FitF,CstF,EarF,NumF,Fit_00,Cst_00,Ear_00,Num_00,Via_00,
0,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
1,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
2,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
3,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
4,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
5,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
6,0.250007073536485,188,47,2,2,null,null,null,null,0.250007073536485,188,47,2,2,
7,0.250007073536485,188,47,2,2,null,null,null,null,0.250007073536485,188,47,2,2,
8,0.250007073536485,188,47,2,2,null,null,null,null,0.250007073536485,188,47,2,2,
9,0.250007073536485,188,47,2,2,null,null,null,null,0.250007073536485,188,47,2,2,
10,0.250007073536485,188,47,2,2,null,null,null,null,0.250007073536485,188,47,2,2,
11,0.250007073536485,188,47,2,2,null,null,null,null,0.250007073536485,188,47,2,2,
12,0.250007073536485,188,47,3,2,null,null,null,null,0.250007073536485,188,47,3,2,
13,0.250450348489564,187.666666666667,47,4,3,null,null,null,null,0.250450348489564,187.666666666667,47,4,3,
14,0.250450348489564,187.666666666667,47,4,3,null,null,null,null,0.250450348489564,187.666666666667,47,4,3,
15,0.250450348489564,187.666666666667,47,4,3,null,null,null,null,0.250450348489564,187.666666666667,47,4,3,
16,0.250450348489564,187.666666666667,47,4,3,null,null,null,null,0.250450348489564,187.666666666667,47,4,3,
17,0.250450348489564,187.666666666667,47,4,3,null,null,null,null,0.250450348489564,187.666666666667,47,4,3,
18,0.250450348489564,187.666666666667,47,4,3,null,null,null,null,0.250450348489564,187.666666666667,47,4,3,
19,0.250807843502341,187.4,47,6,5,null,null,null,null,0.250807843502341,187.4,47,6,5,
20,0.250896019317904,187.333333333333,47,7,6,null,null,null,null,0.250896019317904,187.333333333333,47,7,6,
21,0.250896019317904,187.333333333333,47,7,6,null,null,null,null,0.250896019317904,187.333333333333,47,7,6,
22,0.250896019317904,187.333333333333,47,7,6,null,null,null,null,0.250896019317904,187.333333333333,47,7,6,
23,0.250896019317904,187.333333333333,47,7,6,null,null,null,null,0.250896019317904,187.333333333333,47,7,6,
24,0.250896019317904,187.333333333333,47,7,6,null,null,null,null,0.250896019317904,187.333333333333,47,7,6,
25,0.25134588354465,187,47,9,8,null,null,null,null,0.25134588354465,187,47,9,8,
26,0.251196340928578,187.111111111111,47,12,9,null,null,null,null,0.251196340928578,187.111111111111,47,12,9,
27,0.251345524040021,187,47,13,10,null,null,null,null,0.251345524040021,187,47,13,10,
28,0.251345524040021,187,47,13,10,null,null,null,null,0.251345524040021,187,47,13,10,
29,0.251345524040021,187,47,13,10,null,null,null,null,0.251345524040021,187,47,13,10,
30,0.251345524040021,187,47,13,10,null,null,null,null,0.251345524040021,187,47,13,10,
31,0.251685576783719,186.75,47,15,12,null,null,null,null,0.251685576783719,186.75,47,15,12,
32,0.244593430396264,196.533333333333,47.0666666666667,19,15,null,null,null,null,0.244593430396264,196.533333333333,47.0666666666667,19,15,
33,0.245546612258455,195.294117647059,47.0588235294118,22,17,null,null,null,null,0.245546612258455,195.294117647059,47.0588235294118,22,17,
34,0.245794022688541,194.888888888889,47.0555555555556,23,18,null,null,null,null,0.245794022688541,194.888888888889,47.0555555555556,23,18,
35,0.245794022688541,194.888888888889,47.0555555555556,23,18,null,null,null,null,0.245794022688541,194.888888888889,47.0555555555556,23,18,
36,0.245794022688541,194.888888888889,47.0555555555556,23,18,null,null,null,null,0.245794022688541,194.888888888889,47.0555555555556,23,18,
37,0.242262030710498,198.9,47.1,25,20,null,null,null,null,0.242262030710498,198.9,47.1,25,20,
38,0.243979611667403,196.95652173913,47.0869565217391,29,23,null,null,null,null,0.243979611667403,196.95652173913,47.0869565217391,29,23,
39,0.244115999222576,196.333333333333,47,32,24,null,null,null,null,0.244115999222576,196.333333333333,47,32,24,
40,0.244568614666993,195.692307692308,47,35,26,null,null,null,null,0.244568614666993,195.692307692308,47,35,26,
41,0.244919927236884,195.296296296296,47,35,27,null,null,null,null,0.244919927236884,195.296296296296,47,35,27,
42,0.244919927236884,195.296296296296,47,35,27,null,null,null,null,0.244919927236884,195.296296296296,47,35,27,
43,0.244919927236884,195.296296296296,47,36,27,null,null,null,null,0.244919927236884,195.296296296296,47,36,27,
44,0.246020983277829,194.133333333333,47,40,30,null,null,null,null,0.246020983277829,194.133333333333,47,40,30,
45,0.246236053883158,193.870967741935,47,42,31,null,null,null,null,0.246236053883158,193.870967741935,47,42,31,
46,0.244639256694349,195.714285714286,47.0285714285714,48,35,null,null,null,null,0.244639256694349,195.714285714286,47.0285714285714,48,35,
47,0.244712689684552,195.555555555556,47.0277777777778,50,36,null,null,null,null,0.244712689684552,195.555555555556,47.0277777777778,50,36,
48,0.24488542456465,195.131578947368,47,52,38,null,null,null,null,0.24488542456465,195.131578947368,47,52,38,
49,0.244993263622887,195.052631578947,47,52,38,null,null,null,null,0.244993263622887,195.052631578947,47,52,38,
50,0.245992053701798,194,47,56,42,null,null,null,null,0.245992053701798,194,47,56,42,
51,0.246085954219012,193.860465116279,47,58,43,null,null,null,null,0.246085954219012,193.860465116279,47,58,43,
52,0.247408243017116,191.652173913043,47,62,46,null,null,null,null,0.247408243017116,191.652173913043,47,62,46,
53,0.24712878667121,190.98,46.82,67,50,null,null,null,null,0.24712878667121,190.98,46.82,67,50,
54,0.247239774166589,190.77358490566,46.811320754717,70,53,null,null,null,null,0.247239774166589,190.77358490566,46.811320754717,70,53,
55,0.247239774166589,190.77358490566,46.811320754717,70,53,null,null,null,null,0.247239774166589,190.77358490566,46.811320754717,70,53,
56,0.247319655783166,190.716981132075,46.811320754717,73,53,null,null,null,null,0.247319655783166,190.716981132075,46.811320754717,73,53,
57,0.247721649399279,190.298245614035,46.8070175438597,80,57,null,null,null,null,0.247721649399279,190.298245614035,46.8070175438597,80,57,
58,0.247764023171114,190.233333333333,46.8166666666667,82,60,null,null,null,null,0.247764023171114,190.233333333333,46.8166666666667,82,60,
59,0.248033250478401,190.016129032258,46.8225806451613,86,62,null,null,null,null,0.248033250478401,190.016129032258,46.8225806451613,86,62,
60,0.248274848666244,189.863636363636,46.8484848484849,91,66,null,null,null,null,0.248274848666244,189.863636363636,46.8484848484849,91,66,
61,0.247507100496745,190.478873239437,46.830985915493,96,71,null,null,null,null,0.247507100496745,190.478873239437,46.830985915493,96,71,
62,0.247433085188941,190.542857142857,46.8285714285714,97,70,null,null,null,null,0.247433085188941,190.542857142857,46.8285714285714,97,70,
63,0.247250023217574,190.225352112676,46.7323943661972,100,71,null,null,null,null,0.247250023217574,190.225352112676,46.7323943661972,100,71,
64,0.248606691787912,188.621621621622,46.7027027027027,103,74,null,null,null,null,0.248606691787912,188.621621621622,46.7027027027027,103,74,
65,0.248749463646612,188.526315789474,46.7105263157895,106,76,null,null,null,null,0.248749463646612,188.526315789474,46.7105263157895,106,76,
66,0.249195141675129,188.222222222222,46.7283950617284,113,81,null,null,null,null,0.249195141675129,188.222222222222,46.7283950617284,113,81,
67,0.248726493488957,188.121951219512,46.6219512195122,115,82,null,null,null,null,0.248726493488957,188.121951219512,46.6219512195122,115,82,
68,0.248859216555736,188.036144578313,46.6265060240964,119,83,null,null,null,null,0.248859216555736,188.036144578313,46.6265060240964,119,83,
69,0.247287959456275,189.904761904762,46.6547619047619,123,84,null,null,null,null,0.247287959456275,189.904761904762,46.6547619047619,123,84,
70,0.246467265601757,190.459770114943,46.6091954022989,128,87,null,null,null,null,0.246467265601757,190.459770114943,46.6091954022989,128,87,
71,0.24551014186071,191.666666666667,46.6559139784946,134,93,null,null,null,null,0.24551014186071,191.666666666667,46.6559139784946,134,93,
72,0.24570485527928,191.473684210526,46.6526315789474,138,95,null,null,null,null,0.24570485527928,191.473684210526,46.6526315789474,138,95,
73,0.246319172374569,191,46.6764705882353,143,102,null,null,null,null,0.246319172374569,191,46.6764705882353,143,102,
74,0.246300776385976,190.691588785047,46.6168224299065,148,107,null,null,null,null,0.246300776385976,190.691588785047,46.6168224299065,148,107,
75,0.246011557160377,190.616071428571,46.5357142857143,147,112,null,null,null,null,0.246011557160377,190.616071428571,46.5357142857143,147,112,
76,0.245182796053547,191.198275862069,46.4741379310345,154,116,null,null,null,null,0.245182796053547,191.198275862069,46.4741379310345,154,116,
77,0.246696891810319,189.745762711864,46.5084745762712,158,118,null,null,null,null,0.246696891810319,189.745762711864,46.5084745762712,158,118,
78,0.245541627453761,190.609756097561,46.4634146341463,164,123,null,null,null,null,0.245541627453761,190.609756097561,46.4634146341463,164,123,
79,0.246201602244679,190.179104477612,46.5074626865672,174,134,null,null,null,null,0.246201602244679,190.179104477612,46.5074626865672,174,134,
80,0.246476285447278,190.194029850746,46.5597014925373,177,134,null,null,null,null,0.246476285447278,190.194029850746,46.5597014925373,177,134,
81,0.246107199655214,190.683823529412,46.5661764705882,180,136,null,null,null,null,0.246107199655214,190.683823529412,46.5661764705882,180,136,
82,0.245544316748945,191.127659574468,46.5531914893617,188,141,null,null,null,null,0.245544316748945,191.127659574468,46.5531914893617,188,141,
83,0.24501988028698,191.63698630137,46.5205479452055,197,146,null,null,null,null,0.24501988028698,191.63698630137,46.5205479452055,197,146,
84,0.24574933245235,190.993421052632,46.5328947368421,202,152,null,null,null,null,0.24574933245235,190.993421052632,46.5328947368421,202,152,
85,0.246114348528893,190.335443037975,46.4683544303797,210,158,null,null,null,null,0.246114348528893,190.335443037975,46.4683544303797,210,158,
86,0.244739188123971,192.185185185185,46.5493827160494,216,162,null,null,null,null,0.244739188123971,192.185185185185,46.5493827160494,216,162,
87,0.244139675944763,193.030864197531,46.5493827160494,218,162,null,null,null,null,0.244139675944763,193.030864197531,46.5493827160494,218,162,
88,0.24489778948836,192.204968944099,46.5465838509317,221,161,null,null,null,null,0.24489778948836,192.204968944099,46.5465838509317,221,161,
89,0.24491701594345,192.364705882353,46.5705882352941,229,170,null,null,null,null,0.24491701594345,192.364705882353,46.5705882352941,229,170,
90,0.245045652321192,191.617142857143,46.4571428571429,237,175,null,null,null,null,0.245045652321192,191.617142857143,46.4571428571429,237,175,
91,0.24444390514023,191.923913043478,46.4021739130435,243,184,null,null,null,null,0.24444390514023,191.923913043478,46.4021739130435,243,184,
92,0.244346637699244,191.984615384615,46.3897435897436,253,195,null,null,null,null,0.244346637699244,191.984615384615,46.3897435897436,253,195,
93,0.243839355594174,192.552083333333,46.390625,256,192,null,null,null,null,0.243839355594174,192.552083333333,46.390625,256,192,
94,0.244270102042702,192.691919191919,46.530303030303,262,198,null,null,null,null,0.244270102042702,192.691919191919,46.530303030303,262,198,
95,0.244221001110684,192.940594059406,46.5346534653465,269,202,null,null,null,null,0.244221001110684,192.940594059406,46.5346534653465,269,202,
96,0.244562097695424,192.657142857143,46.5333333333333,278,210,null,null,null,null,0.244562097695424,192.657142857143,46.5333333333333,278,210,
97,0.242901712201849,194.724299065421,46.5654205607477,284,214,null,null,null,null,0.242901712201849,194.724299065421,46.5654205607477,284,214,
98,0.242646134788352,194.787037037037,46.5324074074074,293,216,null,null,null,null,0.242646134788352,194.787037037037,46.5324074074074,293,216,
99,0.242192665141931,195.479452054795,46.5616438356164,299,219,null,null,null,null,0.242192665141931,195.479452054795,46.5616438356164,299,219,
100,0.242424172328412,195.224215246637,46.5560538116592,307,223,null,null,null,null,0.242424172328412,195.224215246637,46.5560538116592,307,223,
101,0.242024013441356,195.804444444444,46.5822222222222,311,225,null,null,null,null,0.242024013441356,195.804444444444,46.5822222222222,311,225,
102,0.242171662042248,195.991452991453,46.6452991452991,322,234,null,null,null,null,0.242171662042248,195.991452991453,46.6452991452991,322,234,
103,0.24302785145956,194.401709401709,46.542735042735,329,234,null,null,null,null,0.24302785145956,194.401709401709,46.542735042735,329,234,
104,0.243031578209507,194.611814345992,46.5864978902954,332,237,null,null,null,null,0.243031578209507,194.611814345992,46.5864978902954,332,237,
105,0.24337304395686,194.037037037037,46.5308641975309,338,243,null,null,null,null,0.24337304395686,194.037037037037,46.5308641975309,338,243,
106,0.243750747910379,193.799196787149,46.5542168674699,345,249,null,null,null,null,0.243750747910379,193.799196787149,46.5542168674699,345,249,
107,0.24409048221334,193.666666666667,46.5714285714286,354,252,null,null,null,null,0.24409048221334,193.666666666667,46.5714285714286,354,252,
108,0.243714478780142,194.135135135135,46.5868725868726,362,259,null,null,null,null,0.243714478780142,194.135135135135,46.5868725868726,362,259,
109,0.243329326751604,194.741697416974,46.6125461254613,372,271,null,null,null,null,0.243329326751604,194.741697416974,46.6125461254613,372,271,
110,0.242883201131786,195.097122302158,46.589928057554,376,278,null,null,null,null,0.242883201131786,195.097122302158,46.589928057554,376,278,
111,0.242460097931606,195.492907801418,46.5744680851064,380,282,null,null,null,null,0.242460097931606,195.492907801418,46.5744680851064,380,282,
112,0.242933090569145,195.108771929825,46.5824561403509,392,285,null,null,null,null,0.242933090569145,195.108771929825,46.5824561403509,392,285,
113,0.24314063610238,194.92439862543,46.5979381443299,404,291,null,null,null,null,0.24314063610238,194.92439862543,46.5979381443299,404,291,
114,0.243948621733694,194.133779264214,46.6053511705686,413,299,null,null,null,null,0.243948621733694,194.133779264214,46.6053511705686,413,299,
115,0.24425575765258,193.869281045752,46.5915032679739,421,306,null,null,null,null,0.24425575765258,193.869281045752,46.5915032679739,421,306,
116,0.244005400890477,194.116504854369,46.5954692556634,429,309,null,null,null,null,0.244005400890477,194.116504854369,46.5954692556634,429,309,
117,0.242760560129285,195.610062893082,46.6132075471698,436,318,null,null,null,null,0.242760560129285,195.610062893082,46.6132075471698,436,318,
118,0.243629576147399,194.772727272727,46.6242424242424,448,330,null,null,null,null,0.243629576147399,194.772727272727,46.6242424242424,448,330,
119,0.243514258271094,194.544378698225,46.5769230769231,461,338,null,null,null,null,0.243514258271094,194.544378698225,46.5769230769231,461,338,
120,0.243690638845696,194.511834319527,46.5739644970414,467,338,null,null,null,null,0.243690638845696,194.511834319527,46.5739644970414,467,338,
121,0.243314237513179,194.886685552408,46.5835694050991,483,353,null,null,null,null,0.243314237513179,194.886685552408,46.5835694050991,483,353,
122,0.243301084319714,195.036312849162,46.608938547486,496,358,null,null,null,null,0.243301084319714,195.036312849162,46.608938547486,496,358,
123,0.243429789906577,195.069252077562,46.6398891966759,502,361,null,null,null,null,0.243429789906577,195.069252077562,46.6398891966759,502,361,
124,0.242803625724801,195.70509383378,46.6353887399464,509,373,null,null,null,null,0.242803625724801,195.70509383378,46.6353887399464,509,373,
125,0.243149035038856,195.190721649485,46.610824742268,520,388,null,null,null,null,0.243149035038856,195.190721649485,46.610824742268,520,388,
126,0.243099683455669,194.97193877551,46.5612244897959,525,392,null,null,null,null,0.243099683455669,194.97193877551,46.5612244897959,525,392,
127,0.243451572632152,194.573200992556,46.5409429280397,540,403,null,null,null,null,0.243451572632152,194.573200992556,46.5409429280397,540,403,
128,0.244823737565817,192.908866995074,46.5246305418719,548,406,null,null,null,null,0.244823737565817,192.908866995074,46.5246305418719,548,406,
129,0.243882205650507,194.048426150121,46.5496368038741,554,413,null,null,null,null,0.243882205650507,194.048426150121,46.5496368038741,554,413,
130,0.24394772698557,194.396181384248,46.6038186157518,561,419,null,null,null,null,0.24394772698557,194.396181384248,46.6038186157518,561,419,
131,0.243443379939331,195.112676056338,46.6197183098592,574,426,null,null,null,null,0.243443379939331,195.112676056338,46.6197183098592,574,426,
132,0.24404443179251,194.297482837529,46.5926773455378,583,437,null,null,null,null,0.24404443179251,194.297482837529,46.5926773455378,583,437,
133,0.244817611238363,193.216704288939,46.548532731377,595,443,null,null,null,null,0.244817611238363,193.216704288939,46.548532731377,595,443,
134,0.244228873376283,194.763274336283,46.5398230088496,601,452,null,null,null,null,0.244228873376283,194.763274336283,46.5398230088496,601,452,
135,0.244501741396342,194.594420600858,46.5643776824034,618,466,null,null,null,null,0.244501741396342,194.594420600858,46.5643776824034,618,466,
