# Name = @default@10000

# Functions = 000000000 = none are picked 
# FitP = Average Fitness of Viable Population 
# CstP = Average Offspring Cost of Viable Population 
# EarP = Average Energy Acquisition Rate of Viable Population 
# NumP = Total Polution Size 
# ViaP = Viable Population Size 
# FitF = Average Fitness of avidians performing picked functions 
# CstF = Average Offspring Cost avidians performing picked functions 
# EarF = Average Energy Acquisition Rate avidians performing functions 
# NumF = Number of avidians performing picked functions 
# columns for statistics for each ancestor (up to 16) will follow. Each column will use 3 letters for the 
# data type followed by _##; where the number with a leading zero is for each ancestor 
# ancestor 00 is @ancestor
Update,FitP,CstP,EarP,NumP,ViaP,FitF,CstF,EarF,NumF,Fit_00,Cst_00,Ear_00,Num_00,Via_00,
0,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
1,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
2,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
3,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
4,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
5,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
6,0.248677248677249,189,47,2,2,null,null,null,null,0.248677248677249,189,47,2,2,
7,0.248677248677249,189,47,2,2,null,null,null,null,0.248677248677249,189,47,2,2,
8,0.248677248677249,189,47,2,2,null,null,null,null,0.248677248677249,189,47,2,2,
9,0.248677248677249,189,47,2,2,null,null,null,null,0.248677248677249,189,47,2,2,
10,0.248677248677249,189,47,2,2,null,null,null,null,0.248677248677249,189,47,2,2,
11,0.248677248677249,189,47,2,2,null,null,null,null,0.248677248677249,189,47,2,2,
12,0.248677248677249,189,47,3,3,null,null,null,null,0.248677248677249,189,47,3,3,
13,0.249007936507937,188.75,47,4,4,null,null,null,null,0.249007936507937,188.75,47,4,4,
14,0.249007936507937,188.75,47,4,4,null,null,null,null,0.249007936507937,188.75,47,4,4,
15,0.249007936507937,188.75,47,4,4,null,null,null,null,0.249007936507937,188.75,47,4,4,
16,0.249007936507937,188.75,47,4,4,null,null,null,null,0.249007936507937,188.75,47,4,4,
17,0.249007936507937,188.75,47,4,4,null,null,null,null,0.249007936507937,188.75,47,4,4,
18,0.249007936507937,188.75,47,5,4,null,null,null,null,0.249007936507937,188.75,47,5,4,
19,0.249206349206349,188.6,47,6,5,null,null,null,null,0.249206349206349,188.6,47,6,5,
20,0.249561440737911,188.333333333333,47,7,6,null,null,null,null,0.249561440737911,188.333333333333,47,7,6,
21,0.249435127586388,188.428571428571,47,8,7,null,null,null,null,0.249435127586388,188.428571428571,47,8,7,
22,0.249435127586388,188.428571428571,47,8,7,null,null,null,null,0.249435127586388,188.428571428571,47,8,7,
23,0.249435127586388,188.428571428571,47,8,7,null,null,null,null,0.249435127586388,188.428571428571,47,8,7,
24,0.249340392722746,188.5,47,9,8,null,null,null,null,0.249340392722746,188.5,47,9,8,
25,0.250017547154518,188,47,11,9,null,null,null,null,0.250017547154518,188,47,11,9,
26,0.250017547154518,188,47,13,9,null,null,null,null,0.250017547154518,188,47,13,9,
27,0.250017547154518,188,47,13,9,null,null,null,null,0.250017547154518,188,47,13,9,
28,0.249894106642537,188.090909090909,47,15,11,null,null,null,null,0.249894106642537,188.090909090909,47,15,11,
29,0.249894106642537,188.090909090909,47,15,11,null,null,null,null,0.249894106642537,188.090909090909,47,15,11,
30,0.249894106642537,188.090909090909,47,15,11,null,null,null,null,0.249894106642537,188.090909090909,47,15,11,
31,0.249911486164683,188.076923076923,47,19,13,null,null,null,null,0.249911486164683,188.076923076923,47,19,13,
32,0.250013236266433,188,47,19,13,null,null,null,null,0.250013236266433,188,47,19,13,
33,0.250100597990624,187.933333333333,47,21,15,null,null,null,null,0.250100597990624,187.933333333333,47,21,15,
34,0.250100597990624,187.933333333333,47,21,15,null,null,null,null,0.250100597990624,187.933333333333,47,21,15,
35,0.25009431061621,187.9375,47,24,16,null,null,null,null,0.25009431061621,187.9375,47,24,16,
36,0.25009431061621,187.9375,47,24,16,null,null,null,null,0.25009431061621,187.9375,47,24,16,
37,0.245220962154055,193.764705882353,47.0588235294118,26,17,null,null,null,null,0.245220962154055,193.764705882353,47.0588235294118,26,17,
38,0.246453716077303,192.428571428571,47.0476190476191,29,21,null,null,null,null,0.246453716077303,192.428571428571,47.0476190476191,29,21,
39,0.246937091654873,191.913043478261,47.0434782608696,32,23,null,null,null,null,0.246937091654873,191.913043478261,47.0434782608696,32,23,
40,0.247119827474368,191.708333333333,47.0416666666667,32,24,null,null,null,null,0.247119827474368,191.708333333333,47.0416666666667,32,24,
41,0.247235034375393,191.56,47.04,34,25,null,null,null,null,0.247235034375393,191.56,47.04,34,25,
42,0.247290504156234,191.461538461538,47.0384615384615,35,26,null,null,null,null,0.247290504156234,191.461538461538,47.0384615384615,35,26,
43,0.247440370609548,191.296296296296,47.037037037037,37,27,null,null,null,null,0.247440370609548,191.296296296296,47.037037037037,37,27,
44,0.247590520759699,191.185185185185,47.037037037037,39,27,null,null,null,null,0.247590520759699,191.185185185185,47.037037037037,39,27,
45,0.248040391924069,190.620689655172,47,43,29,null,null,null,null,0.248040391924069,190.620689655172,47,43,29,
46,0.243262340157267,195.939393939394,47,47,33,null,null,null,null,0.243262340157267,195.939393939394,47,47,33,
47,0.243415669074602,195.657142857143,47,48,35,null,null,null,null,0.243415669074602,195.657142857143,47,48,35,
48,0.243415669074602,195.657142857143,47,48,35,null,null,null,null,0.243415669074602,195.657142857143,47,48,35,
49,0.243901047720034,195.078947368421,47,51,38,null,null,null,null,0.243901047720034,195.078947368421,47,51,38,
50,0.24434225392979,194.625,47,52,40,null,null,null,null,0.24434225392979,194.625,47,52,40,
51,0.246281954589636,191.674418604651,46.8604651162791,56,43,null,null,null,null,0.246281954589636,191.674418604651,46.8604651162791,56,43,
52,0.246378183252631,191.369565217391,46.8260869565217,59,46,null,null,null,null,0.246378183252631,191.369565217391,46.8260869565217,59,46,
53,0.246556944333682,191.208333333333,46.8333333333333,61,48,null,null,null,null,0.246556944333682,191.208333333333,46.8333333333333,61,48,
54,0.246654205700806,191.122448979592,46.8367346938776,62,49,null,null,null,null,0.246654205700806,191.122448979592,46.8367346938776,62,49,
55,0.24506043768229,193,46.86,64,50,null,null,null,null,0.24506043768229,193,46.86,64,50,
56,0.243599360744058,194.557692307692,46.8461538461538,69,52,null,null,null,null,0.243599360744058,194.557692307692,46.8461538461538,69,52,
57,0.243114583042224,195.018867924528,46.8490566037736,72,53,null,null,null,null,0.243114583042224,195.018867924528,46.8490566037736,72,53,
58,0.243973138518959,194.186440677966,46.864406779661,79,59,null,null,null,null,0.243973138518959,194.186440677966,46.864406779661,79,59,
59,0.243499489634658,193.803278688525,46.7049180327869,81,61,null,null,null,null,0.243499489634658,193.803278688525,46.7049180327869,81,61,
60,0.243604336576035,193.709677419355,46.7096774193548,83,62,null,null,null,null,0.243604336576035,193.709677419355,46.7096774193548,83,62,
61,0.243858821001056,193.476923076923,46.7230769230769,84,65,null,null,null,null,0.243858821001056,193.476923076923,46.7230769230769,84,65,
62,0.24405250630043,193.318181818182,46.7272727272727,87,66,null,null,null,null,0.24405250630043,193.318181818182,46.7272727272727,87,66,
63,0.244745362169842,192.757142857143,46.7428571428571,92,70,null,null,null,null,0.244745362169842,192.757142857143,46.7428571428571,92,70,
64,0.246327523962905,191.422535211268,46.8169014084507,96,71,null,null,null,null,0.246327523962905,191.422535211268,46.8169014084507,96,71,
65,0.245632749765576,191.56,46.72,102,75,null,null,null,null,0.245632749765576,191.56,46.72,102,75,
66,0.244160349864217,192.851351351351,46.6621621621622,103,74,null,null,null,null,0.244160349864217,192.851351351351,46.6621621621622,103,74,
67,0.244349771868733,192.75,46.6842105263158,106,76,null,null,null,null,0.244349771868733,192.75,46.6842105263158,106,76,
68,0.244874791957379,192.313253012048,46.710843373494,112,83,null,null,null,null,0.244874791957379,192.313253012048,46.710843373494,112,83,
69,0.245044018134217,192.373493975904,46.6987951807229,118,83,null,null,null,null,0.245044018134217,192.373493975904,46.6987951807229,118,83,
70,0.244045217790314,193.638554216867,46.710843373494,120,83,null,null,null,null,0.244045217790314,193.638554216867,46.710843373494,120,83,
71,0.244598054512772,193.204545454545,46.7386363636364,127,88,null,null,null,null,0.244598054512772,193.204545454545,46.7386363636364,127,88,
72,0.24394019145283,192.8,46.5333333333333,127,90,null,null,null,null,0.24394019145283,192.8,46.5333333333333,127,90,
73,0.243748050366951,193.042553191489,46.5531914893617,129,94,null,null,null,null,0.243748050366951,193.042553191489,46.5531914893617,129,94,
74,0.243675221768545,193.21,46.59,133,100,null,null,null,null,0.243675221768545,193.21,46.59,133,100,
75,0.243211591349676,194.162162162162,46.6306306306306,144,111,null,null,null,null,0.243211591349676,194.162162162162,46.6306306306306,144,111,
76,0.243038071940332,194.210526315789,46.6052631578947,147,114,null,null,null,null,0.243038071940332,194.210526315789,46.6052631578947,147,114,
77,0.244083379165899,192.899159663866,46.563025210084,153,119,null,null,null,null,0.244083379165899,192.899159663866,46.563025210084,153,119,
78,0.24425002489814,192.617886178862,46.5447154471545,156,123,null,null,null,null,0.24425002489814,192.617886178862,46.5447154471545,156,123,
79,0.244583370325695,192.596774193548,46.6048387096774,159,124,null,null,null,null,0.244583370325695,192.596774193548,46.6048387096774,159,124,
80,0.244552916162177,193.056451612903,46.6935483870968,161,124,null,null,null,null,0.244552916162177,193.056451612903,46.6935483870968,161,124,
81,0.243564122789969,194.518796992481,46.7293233082707,172,133,null,null,null,null,0.243564122789969,194.518796992481,46.7293233082707,172,133,
82,0.243843523399138,194.526315789474,46.781954887218,175,133,null,null,null,null,0.243843523399138,194.526315789474,46.781954887218,175,133,
83,0.243721038179923,194.56204379562,46.7737226277372,180,137,null,null,null,null,0.243721038179923,194.56204379562,46.7737226277372,180,137,
84,0.244354341484462,193.739130434783,46.7463768115942,186,138,null,null,null,null,0.244354341484462,193.739130434783,46.7463768115942,186,138,
85,0.244304655612437,193.578571428571,46.7071428571429,188,140,null,null,null,null,0.244304655612437,193.578571428571,46.7071428571429,188,140,
86,0.244242503361724,193.335664335664,46.6503496503497,190,143,null,null,null,null,0.244242503361724,193.335664335664,46.6503496503497,190,143,
87,0.243598601724235,194.464052287582,46.6862745098039,202,153,null,null,null,null,0.243598601724235,194.464052287582,46.6862745098039,202,153,
88,0.244100978452781,194.150943396226,46.7295597484277,207,159,null,null,null,null,0.244100978452781,194.150943396226,46.7295597484277,207,159,
89,0.24365953466503,194.633540372671,46.7267080745342,209,161,null,null,null,null,0.24365953466503,194.633540372671,46.7267080745342,209,161,
90,0.243289154435986,194.508875739645,46.6508875739645,218,169,null,null,null,null,0.243289154435986,194.508875739645,46.6508875739645,218,169,
91,0.243189309811348,194.411428571429,46.6228571428571,223,175,null,null,null,null,0.243189309811348,194.411428571429,46.6228571428571,223,175,
92,0.24315895224961,194.704545454545,46.625,227,176,null,null,null,null,0.24315895224961,194.704545454545,46.625,227,176,
93,0.24231501632076,195.723756906077,46.646408839779,234,181,null,null,null,null,0.24231501632076,195.723756906077,46.646408839779,234,181,
94,0.242578774578652,195.276595744681,46.6170212765957,246,188,null,null,null,null,0.242578774578652,195.276595744681,46.6170212765957,246,188,
95,0.243482943868985,194.121693121693,46.6243386243386,249,189,null,null,null,null,0.243482943868985,194.121693121693,46.6243386243386,249,189,
96,0.244626129680421,193.432989690722,46.7216494845361,256,194,null,null,null,null,0.244626129680421,193.432989690722,46.7216494845361,256,194,
97,0.244139069064975,193.915,46.72,265,200,null,null,null,null,0.244139069064975,193.915,46.72,265,200,
98,0.244215272133747,193.758620689655,46.7044334975369,273,203,null,null,null,null,0.244215272133747,193.758620689655,46.7044334975369,273,203,
99,0.244597195565439,193.466666666667,46.7238095238095,279,210,null,null,null,null,0.244597195565439,193.466666666667,46.7238095238095,279,210,
100,0.244230770169783,194.072398190045,46.7511312217195,292,221,null,null,null,null,0.244230770169783,194.072398190045,46.7511312217195,292,221,
101,0.244397971483594,193.594713656388,46.7092511013216,296,227,null,null,null,null,0.244397971483594,193.594713656388,46.7092511013216,296,227,
102,0.244485424398686,193.510729613734,46.7124463519313,301,233,null,null,null,null,0.244485424398686,193.510729613734,46.7124463519313,301,233,
103,0.244447860278081,193.576271186441,46.7076271186441,307,236,null,null,null,null,0.244447860278081,193.576271186441,46.7076271186441,307,236,
104,0.245132610666798,192.782978723404,46.6978723404255,311,235,null,null,null,null,0.245132610666798,192.782978723404,46.6978723404255,311,235,
105,0.243737478485803,194.550847457627,46.7076271186441,321,236,null,null,null,null,0.243737478485803,194.550847457627,46.7076271186441,321,236,
106,0.244771393930309,193.457142857143,46.6979591836735,328,245,null,null,null,null,0.244771393930309,193.457142857143,46.6979591836735,328,245,
107,0.243724436902514,194.8515625,46.74609375,339,256,null,null,null,null,0.243724436902514,194.8515625,46.74609375,339,256,
108,0.242947165771223,195.466926070039,46.7081712062257,346,257,null,null,null,null,0.242947165771223,195.466926070039,46.7081712062257,346,257,
109,0.242180170020216,196.637065637066,46.7722007722008,350,259,null,null,null,null,0.242180170020216,196.637065637066,46.7722007722008,350,259,
110,0.242311412953587,196.376425855513,46.7338403041825,354,263,null,null,null,null,0.242311412953587,196.376425855513,46.7338403041825,354,263,
111,0.242884114168158,195.566176470588,46.6985294117647,365,272,null,null,null,null,0.242884114168158,195.566176470588,46.6985294117647,365,272,
112,0.242055661806191,196.204379562044,46.6459854014599,367,274,null,null,null,null,0.242055661806191,196.204379562044,46.6459854014599,367,274,
113,0.242259350769619,196.021582733813,46.6654676258993,379,278,null,null,null,null,0.242259350769619,196.021582733813,46.6654676258993,379,278,
114,0.242989968901488,195.062283737024,46.6332179930796,389,289,null,null,null,null,0.242989968901488,195.062283737024,46.6332179930796,389,289,
115,0.24170976953964,196.483333333333,46.61,395,300,null,null,null,null,0.24170976953964,196.483333333333,46.61,395,300,
116,0.241388821948263,196.963696369637,46.6204620462046,405,303,null,null,null,null,0.241388821948263,196.963696369637,46.6204620462046,405,303,
117,0.241579479551142,196.777777777778,46.6176470588235,412,306,null,null,null,null,0.241579479551142,196.777777777778,46.6176470588235,412,306,
118,0.242121009721777,195.81072555205,46.5678233438486,422,317,null,null,null,null,0.242121009721777,195.81072555205,46.5678233438486,422,317,
119,0.242392104787182,195.325077399381,46.5263157894737,431,323,null,null,null,null,0.242392104787182,195.325077399381,46.5263157894737,431,323,
120,0.242247924540511,195.495468277946,46.5438066465257,438,331,null,null,null,null,0.242247924540511,195.495468277946,46.5438066465257,438,331,
121,0.241364584942776,196.3598820059,46.5191740412979,450,339,null,null,null,null,0.241364584942776,196.3598820059,46.5191740412979,450,339,
122,0.241719929200579,196.087719298246,46.5526315789474,454,342,null,null,null,null,0.241719929200579,196.087719298246,46.5526315789474,454,342,
123,0.242254390584841,195.693820224719,46.6151685393258,465,356,null,null,null,null,0.242254390584841,195.693820224719,46.6151685393258,465,356,
124,0.242773512146939,195.226519337017,46.646408839779,470,362,null,null,null,null,0.242773512146939,195.226519337017,46.646408839779,470,362,
125,0.24346164852609,194.298913043478,46.6277173913044,480,368,null,null,null,null,0.24346164852609,194.298913043478,46.6277173913044,480,368,
126,0.242709281629043,195.546666666667,46.68,491,375,null,null,null,null,0.242709281629043,195.546666666667,46.68,491,375,
127,0.242059123807812,196.287564766839,46.6735751295337,505,386,null,null,null,null,0.242059123807812,196.287564766839,46.6735751295337,505,386,
128,0.241696455324104,196.624040920716,46.6675191815857,511,391,null,null,null,null,0.241696455324104,196.624040920716,46.6675191815857,511,391,
129,0.241300580187578,197.093908629442,46.6827411167513,518,394,null,null,null,null,0.241300580187578,197.093908629442,46.6827411167513,518,394,
130,0.241643966844761,196.725440806045,46.6725440806045,527,397,null,null,null,null,0.241643966844761,196.725440806045,46.6725440806045,527,397,
131,0.242347939195664,195.798004987531,46.6683291770574,539,401,null,null,null,null,0.242347939195664,195.798004987531,46.6683291770574,539,401,
132,0.243016382100763,195.358722358722,46.7100737100737,549,407,null,null,null,null,0.243016382100763,195.358722358722,46.7100737100737,549,407,
133,0.242711614279301,195.35308056872,46.6350710900474,566,422,null,null,null,null,0.242711614279301,195.35308056872,46.6350710900474,566,422,
134,0.242231324011924,195.84367816092,46.6436781609195,577,435,null,null,null,null,0.242231324011924,195.84367816092,46.6436781609195,577,435,
135,0.242339263371254,195.768539325843,46.6629213483146,587,445,null,null,null,null,0.242339263371254,195.768539325843,46.6629213483146,587,445,
136,0.243094938418751,194.988713318284,46.6839729119639,596,443,null,null,null,null,0.243094938418751,194.988713318284,46.6839729119639,596,443,
