# Name = @default@10000

# Functions = 000000000 = none are picked 
# FitP = Average Fitness of Viable Population 
# CstP = Average Offspring Cost of Viable Population 
# EarP = Average Energy Acquisition Rate of Viable Population 
# NumP = Total Polution Size 
# ViaP = Viable Population Size 
# FitF = Average Fitness of avidians performing picked functions 
# CstF = Average Offspring Cost avidians performing picked functions 
# EarF = Average Energy Acquisition Rate avidians performing functions 
# NumF = Number of avidians performing picked functions 
# columns for statistics for each ancestor (up to 16) will follow. Each column will use 3 letters for the 
# data type followed by _##; where the number with a leading zero is for each ancestor 
# ancestor 00 is @ancestor
Update,FitP,CstP,EarP,NumP,ViaP,FitF,CstF,EarF,NumF,Fit_00,Cst_00,Ear_00,Num_00,Via_00,
0,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
1,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
2,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
3,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
4,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
5,0.248677248677249,189,47,1,1,null,null,null,null,0.248677248677249,189,47,1,1,
6,0.248677248677249,189,47,2,1,null,null,null,null,0.248677248677249,189,47,2,1,
7,0.248677248677249,189,47,2,1,null,null,null,null,0.248677248677249,189,47,2,1,
8,0.248677248677249,189,47,2,1,null,null,null,null,0.248677248677249,189,47,2,1,
9,0.248677248677249,189,47,2,1,null,null,null,null,0.248677248677249,189,47,2,1,
10,0.248677248677249,189,47,2,1,null,null,null,null,0.248677248677249,189,47,2,1,
11,0.248677248677249,189,47,2,1,null,null,null,null,0.248677248677249,189,47,2,1,
12,0.248677248677249,189,47,2,1,null,null,null,null,0.248677248677249,189,47,2,1,
13,0.248677248677249,189,47,3,1,null,null,null,null,0.248677248677249,189,47,3,1,
14,0.248677248677249,189,47,3,1,null,null,null,null,0.248677248677249,189,47,3,1,
15,0.248677248677249,189,47,3,1,null,null,null,null,0.248677248677249,189,47,3,1,
16,0.248677248677249,189,47,3,1,null,null,null,null,0.248677248677249,189,47,3,1,
17,0.248677248677249,189,47,3,1,null,null,null,null,0.248677248677249,189,47,3,1,
18,0.248677248677249,189,47,3,1,null,null,null,null,0.248677248677249,189,47,3,1,
19,0.248677248677249,189,47,3,1,null,null,null,null,0.248677248677249,189,47,3,1,
20,0.248677248677249,189,47,4,1,null,null,null,null,0.248677248677249,189,47,4,1,
21,0.248677248677249,189,47,4,1,null,null,null,null,0.248677248677249,189,47,4,1,
22,0.248677248677249,189,47,4,1,null,null,null,null,0.248677248677249,189,47,4,1,
23,0.248677248677249,189,47,4,1,null,null,null,null,0.248677248677249,189,47,4,1,
24,0.248677248677249,189,47,4,1,null,null,null,null,0.248677248677249,189,47,4,1,
25,0.248677248677249,189,47,4,1,null,null,null,null,0.248677248677249,189,47,4,1,
26,0.248677248677249,189,47,5,2,null,null,null,null,0.248677248677249,189,47,5,2,
27,0.248677248677249,189,47,5,2,null,null,null,null,0.248677248677249,189,47,5,2,
28,0.248677248677249,189,47,5,2,null,null,null,null,0.248677248677249,189,47,5,2,
29,0.248677248677249,189,47,5,2,null,null,null,null,0.248677248677249,189,47,5,2,
30,0.248677248677249,189,47,5,2,null,null,null,null,0.248677248677249,189,47,5,2,
31,0.248677248677249,189,47,5,2,null,null,null,null,0.248677248677249,189,47,5,2,
32,0.249118165784832,188.666666666667,47,6,3,null,null,null,null,0.249118165784832,188.666666666667,47,6,3,
33,0.249007936507937,188.75,47,7,4,null,null,null,null,0.249007936507937,188.75,47,7,4,
34,0.249007936507937,188.75,47,7,4,null,null,null,null,0.249007936507937,188.75,47,7,4,
35,0.249007936507937,188.75,47,7,4,null,null,null,null,0.249007936507937,188.75,47,7,4,
36,0.249007936507937,188.75,47,7,4,null,null,null,null,0.249007936507937,188.75,47,7,4,
37,0.249007936507937,188.75,47,7,4,null,null,null,null,0.249007936507937,188.75,47,7,4,
38,0.249007936507937,188.75,47,6,4,null,null,null,null,0.249007936507937,188.75,47,6,4,
39,0.249118165784832,188.666666666667,47,9,6,null,null,null,null,0.249118165784832,188.666666666667,47,9,6,
40,0.249055177626606,188.714285714286,47,10,7,null,null,null,null,0.249055177626606,188.714285714286,47,10,7,
41,0.249055177626606,188.714285714286,47,10,7,null,null,null,null,0.249055177626606,188.714285714286,47,10,7,
42,0.249055177626606,188.714285714286,47,10,7,null,null,null,null,0.249055177626606,188.714285714286,47,10,7,
43,0.249055177626606,188.714285714286,47,10,7,null,null,null,null,0.249055177626606,188.714285714286,47,10,7,
44,0.249055177626606,188.714285714286,47,10,7,null,null,null,null,0.249055177626606,188.714285714286,47,10,7,
45,0.249118165784832,188.666666666667,47,13,9,null,null,null,null,0.249118165784832,188.666666666667,47,13,9,
46,0.249206349206349,188.6,47,15,10,null,null,null,null,0.249206349206349,188.6,47,15,10,
47,0.249228395061728,188.583333333333,47,16,12,null,null,null,null,0.249228395061728,188.583333333333,47,16,12,
48,0.249228395061728,188.583333333333,47,16,12,null,null,null,null,0.249228395061728,188.583333333333,47,16,12,
49,0.249228395061728,188.583333333333,47,16,12,null,null,null,null,0.249228395061728,188.583333333333,47,16,12,
50,0.249228395061728,188.583333333333,47,16,12,null,null,null,null,0.249228395061728,188.583333333333,47,16,12,
51,0.24607324411246,191.866666666667,47.0666666666667,19,15,null,null,null,null,0.24607324411246,191.866666666667,47.0666666666667,19,15,
52,0.246504874351174,191.166666666667,47,22,18,null,null,null,null,0.246504874351174,191.166666666667,47,22,18,
53,0.245286543287689,190.090909090909,46.5454545454545,26,22,null,null,null,null,0.245286543287689,190.090909090909,46.5454545454545,26,22,
54,0.245286543287689,190.090909090909,46.5454545454545,26,22,null,null,null,null,0.245286543287689,190.090909090909,46.5454545454545,26,22,
55,0.245286543287689,190.090909090909,46.5454545454545,26,22,null,null,null,null,0.245286543287689,190.090909090909,46.5454545454545,26,22,
56,0.245286543287689,190.090909090909,46.5454545454545,26,22,null,null,null,null,0.245286543287689,190.090909090909,46.5454545454545,26,22,
57,0.245852158093166,189.84,46.6,30,25,null,null,null,null,0.245852158093166,189.84,46.6,30,25,
58,0.244369800911039,191.407407407407,46.6296296296296,33,27,null,null,null,null,0.244369800911039,191.407407407407,46.6296296296296,33,27,
59,0.24404986355981,191.615384615385,46.6153846153846,35,26,null,null,null,null,0.24404986355981,191.615384615385,46.6153846153846,35,26,
60,0.243656419342809,192.5,46.71875,41,32,null,null,null,null,0.243656419342809,192.5,46.71875,41,32,
61,0.24279031139733,191.941176470588,46.4411764705882,43,34,null,null,null,null,0.24279031139733,191.941176470588,46.4411764705882,43,34,
62,0.24279031139733,191.941176470588,46.4411764705882,43,34,null,null,null,null,0.24279031139733,191.941176470588,46.4411764705882,43,34,
63,0.24279031139733,191.941176470588,46.4411764705882,43,34,null,null,null,null,0.24279031139733,191.941176470588,46.4411764705882,43,34,
64,0.243034499597284,191.8,46.4571428571429,48,35,null,null,null,null,0.243034499597284,191.8,46.4571428571429,48,35,
65,0.241201519415146,193.820512820513,46.5128205128205,52,39,null,null,null,null,0.241201519415146,193.820512820513,46.5128205128205,52,39,
66,0.240746657650597,194.452380952381,46.5476190476191,58,42,null,null,null,null,0.240746657650597,194.452380952381,46.5476190476191,58,42,
67,0.241304758192879,194.066666666667,46.5777777777778,62,45,null,null,null,null,0.241304758192879,194.066666666667,46.5777777777778,62,45,
68,0.240646697679755,194.872340425532,46.6170212765957,64,47,null,null,null,null,0.240646697679755,194.872340425532,46.6170212765957,64,47,
69,0.240646697679755,194.872340425532,46.6170212765957,65,47,null,null,null,null,0.240646697679755,194.872340425532,46.6170212765957,65,47,
70,0.241288114286285,194.4,46.64,68,50,null,null,null,null,0.241288114286285,194.4,46.64,68,50,
71,0.242079321115091,193.672727272727,46.6363636363636,72,55,null,null,null,null,0.242079321115091,193.672727272727,46.6363636363636,72,55,
72,0.242399916676342,192.446428571429,46.4464285714286,76,56,null,null,null,null,0.242399916676342,192.446428571429,46.4464285714286,76,56,
73,0.242929345909923,192.066666666667,46.4666666666667,80,60,null,null,null,null,0.242929345909923,192.066666666667,46.4666666666667,80,60,
74,0.241220951082228,193.253968253968,46.3650793650794,86,63,null,null,null,null,0.241220951082228,193.253968253968,46.3650793650794,86,63,
75,0.241220951082228,193.253968253968,46.3650793650794,88,63,null,null,null,null,0.241220951082228,193.253968253968,46.3650793650794,88,63,
76,0.240789057884497,193.830769230769,46.4,92,65,null,null,null,null,0.240789057884497,193.830769230769,46.4,92,65,
77,0.241897364967207,193.602941176471,46.5588235294118,96,68,null,null,null,null,0.241897364967207,193.602941176471,46.5588235294118,96,68,
78,0.242089218589902,193.357142857143,46.5428571428571,99,70,null,null,null,null,0.242089218589902,193.357142857143,46.5428571428571,99,70,
79,0.243349719715699,192.171052631579,46.5394736842105,104,76,null,null,null,null,0.243349719715699,192.171052631579,46.5394736842105,104,76,
80,0.243760757627045,191.913580246914,46.5679012345679,109,81,null,null,null,null,0.243760757627045,191.913580246914,46.5679012345679,109,81,
81,0.243321051505097,192.390243902439,46.5853658536585,112,82,null,null,null,null,0.243321051505097,192.390243902439,46.5853658536585,112,82,
82,0.243590459364373,192.164705882353,46.5882352941176,115,85,null,null,null,null,0.243590459364373,192.164705882353,46.5882352941176,115,85,
83,0.243187749016351,192.597701149425,46.5977011494253,117,87,null,null,null,null,0.243187749016351,192.597701149425,46.5977011494253,117,87,
84,0.242132460441416,193.355555555556,46.5111111111111,121,90,null,null,null,null,0.242132460441416,193.355555555556,46.5111111111111,121,90,
85,0.242423919682361,192.739583333333,46.4270833333333,128,96,null,null,null,null,0.242423919682361,192.739583333333,46.4270833333333,128,96,
86,0.242981257565973,192.317307692308,46.4519230769231,134,104,null,null,null,null,0.242981257565973,192.317307692308,46.4519230769231,134,104,
87,0.242141328438727,193.330097087379,46.4660194174757,136,103,null,null,null,null,0.242141328438727,193.330097087379,46.4660194174757,136,103,
88,0.24229444044816,193.221153846154,46.4711538461538,139,104,null,null,null,null,0.24229444044816,193.221153846154,46.4711538461538,139,104,
89,0.242653430934021,192.953703703704,46.4907407407407,145,108,null,null,null,null,0.242653430934021,192.953703703704,46.4907407407407,145,108,
90,0.24232410143374,193.125,46.4519230769231,145,104,null,null,null,null,0.24232410143374,193.125,46.4519230769231,145,104,
91,0.242116777930784,193.308411214953,46.4579439252336,151,107,null,null,null,null,0.242116777930784,193.308411214953,46.4579439252336,151,107,
92,0.241526968163342,193.289473684211,46.3508771929825,160,114,null,null,null,null,0.241526968163342,193.289473684211,46.3508771929825,160,114,
93,0.24197301799231,192.975,46.375,164,120,null,null,null,null,0.24197301799231,192.975,46.375,164,120,
94,0.242415801065153,192.72,46.408,168,125,null,null,null,null,0.242415801065153,192.72,46.408,168,125,
95,0.242442424843828,192.472868217054,46.3643410852713,173,129,null,null,null,null,0.242442424843828,192.472868217054,46.3643410852713,173,129,
96,0.242294605156556,193.229007633588,46.4656488549618,176,131,null,null,null,null,0.242294605156556,193.229007633588,46.4656488549618,176,131,
97,0.242502030538143,193.052631578947,46.4661654135338,178,133,null,null,null,null,0.242502030538143,193.052631578947,46.4661654135338,178,133,
98,0.242310252229899,194.111111111111,46.6074074074074,182,135,null,null,null,null,0.242310252229899,194.111111111111,46.6074074074074,182,135,
99,0.24053742184631,195.131944444444,46.4583333333333,196,144,null,null,null,null,0.24053742184631,195.131944444444,46.4583333333333,196,144,
100,0.239759321317399,195.791946308725,46.4295302013423,201,149,null,null,null,null,0.239759321317399,195.791946308725,46.4295302013423,201,149,
101,0.240750753612462,195.08,46.4933333333333,205,150,null,null,null,null,0.240750753612462,195.08,46.4933333333333,205,150,
102,0.240656146983035,195.153333333333,46.4933333333333,211,150,null,null,null,null,0.240656146983035,195.153333333333,46.4933333333333,211,150,
103,0.241041914025821,194.735099337748,46.476821192053,214,151,null,null,null,null,0.241041914025821,194.735099337748,46.476821192053,214,151,
104,0.241373624724437,194.057692307692,46.4038461538462,219,156,null,null,null,null,0.241373624724437,194.057692307692,46.4038461538462,219,156,
105,0.24181754697851,193.502994011976,46.3832335329341,226,167,null,null,null,null,0.24181754697851,193.502994011976,46.3832335329341,226,167,
106,0.241244861022162,194.09604519774,46.3785310734463,236,177,null,null,null,null,0.241244861022162,194.09604519774,46.3785310734463,236,177,
107,0.239540285985832,195.295081967213,46.2896174863388,240,183,null,null,null,null,0.239540285985832,195.295081967213,46.2896174863388,240,183,
108,0.239887862386606,195.664893617021,46.4148936170213,242,188,null,null,null,null,0.239887862386606,195.664893617021,46.4148936170213,242,188,
109,0.239987360224922,195.555555555556,46.4126984126984,243,189,null,null,null,null,0.239987360224922,195.555555555556,46.4126984126984,243,189,
110,0.239950920951282,195.630208333333,46.421875,252,192,null,null,null,null,0.239950920951282,195.630208333333,46.421875,252,192,
111,0.239153320760769,197.889473684211,46.5052631578947,259,190,null,null,null,null,0.239153320760769,197.889473684211,46.5052631578947,259,190,
112,0.23933985476211,197.729166666667,46.5104166666667,267,192,null,null,null,null,0.23933985476211,197.729166666667,46.5104166666667,267,192,
113,0.239795778900337,197.810256410256,46.6051282051282,272,195,null,null,null,null,0.239795778900337,197.810256410256,46.6051282051282,272,195,
114,0.239647830847223,198.010204081633,46.5969387755102,278,196,null,null,null,null,0.239647830847223,198.010204081633,46.5969387755102,278,196,
115,0.240002530922904,197.034653465347,46.490099009901,280,202,null,null,null,null,0.240002530922904,197.034653465347,46.490099009901,280,202,
116,0.239610941511479,196.800970873786,46.5194174757282,285,206,null,null,null,null,0.239610941511479,196.800970873786,46.5194174757282,285,206,
117,0.240913759788094,196.032558139535,46.5813953488372,297,215,null,null,null,null,0.240913759788094,196.032558139535,46.5813953488372,297,215,
118,0.242550097825956,194.087155963303,46.5412844036697,305,218,null,null,null,null,0.242550097825956,194.087155963303,46.5412844036697,305,218,
119,0.242053839605389,194.41095890411,46.5022831050228,313,219,null,null,null,null,0.242053839605389,194.41095890411,46.5022831050228,313,219,
120,0.24150676560331,194.940366972477,46.4770642201835,318,218,null,null,null,null,0.24150676560331,194.940366972477,46.4770642201835,318,218,
121,0.241695738904065,194.708520179372,46.4708520179372,324,223,null,null,null,null,0.241695738904065,194.708520179372,46.4708520179372,324,223,
122,0.241922796632189,194.133928571429,46.4107142857143,329,224,null,null,null,null,0.241922796632189,194.133928571429,46.4107142857143,329,224,
123,0.242180235694503,194.145299145299,46.465811965812,340,234,null,null,null,null,0.242180235694503,194.145299145299,46.465811965812,340,234,
124,0.242015769805539,194.280487804878,46.4430894308943,345,246,null,null,null,null,0.242015769805539,194.280487804878,46.4430894308943,345,246,
125,0.241768633659019,194.486274509804,46.4313725490196,353,255,null,null,null,null,0.241768633659019,194.486274509804,46.4313725490196,353,255,
126,0.240893521482837,195.597744360902,46.4661654135338,361,266,null,null,null,null,0.240893521482837,195.597744360902,46.4661654135338,361,266,
127,0.241267214928156,195.343065693431,46.492700729927,369,274,null,null,null,null,0.241267214928156,195.343065693431,46.492700729927,369,274,
128,0.240967582345208,195.563176895307,46.4729241877256,371,277,null,null,null,null,0.240967582345208,195.563176895307,46.4729241877256,371,277,
129,0.240968262667074,194.912891986063,46.383275261324,378,287,null,null,null,null,0.240968262667074,194.912891986063,46.383275261324,378,287,
130,0.240979984105416,195.02,46.4133333333333,391,300,null,null,null,null,0.240979984105416,195.02,46.4133333333333,391,300,
131,0.23913556153851,197.25,46.3863636363636,398,308,null,null,null,null,0.23913556153851,197.25,46.3863636363636,398,308,
132,0.238699042679267,198.458064516129,46.4064516129032,406,310,null,null,null,null,0.238699042679267,198.458064516129,46.4064516129032,406,310,
133,0.23835364777693,199.099358974359,46.4615384615385,416,312,null,null,null,null,0.23835364777693,199.099358974359,46.4615384615385,416,312,
134,0.237903508208696,199.811912225705,46.4984326018809,426,319,null,null,null,null,0.237903508208696,199.811912225705,46.4984326018809,426,319,
135,0.238313193158776,199.655384615385,46.5323076923077,435,325,null,null,null,null,0.238313193158776,199.655384615385,46.5323076923077,435,325,
136,0.238649079639149,199.615384615385,46.5723076923077,443,325,null,null,null,null,0.238649079639149,199.615384615385,46.5723076923077,443,325,
137,0.238308596972181,199.963302752294,46.5474006116208,451,327,null,null,null,null,0.238308596972181,199.963302752294,46.5474006116208,451,327,
138,0.239402981343048,198.46686746988,46.4939759036145,461,332,null,null,null,null,0.239402981343048,198.46686746988,46.4939759036145,461,332,
139,0.240304469163694,197.740524781341,46.5451895043732,471,343,null,null,null,null,0.240304469163694,197.740524781341,46.5451895043732,471,343,
